State,Year,Quarter,District,RegisteredUser
andaman-&-nicobar-islands,2018,1,north and middle andaman district,632
andaman-&-nicobar-islands,2018,1,south andaman district,5846
andaman-&-nicobar-islands,2018,1,nicobars district,262
andaman-&-nicobar-islands,2018,2,north and middle andaman district,911
andaman-&-nicobar-islands,2018,2,south andaman district,8143
andaman-&-nicobar-islands,2018,2,nicobars district,351
andaman-&-nicobar-islands,2018,3,north and middle andaman district,1208
andaman-&-nicobar-islands,2018,3,south andaman district,10474
andaman-&-nicobar-islands,2018,3,nicobars district,467
andaman-&-nicobar-islands,2018,4,north and middle andaman district,1553
andaman-&-nicobar-islands,2018,4,south andaman district,13133
andaman-&-nicobar-islands,2018,4,nicobars district,536
andaman-&-nicobar-islands,2019,1,north and middle andaman district,2013
andaman-&-nicobar-islands,2019,1,south andaman district,15961
andaman-&-nicobar-islands,2019,1,nicobars district,622
andaman-&-nicobar-islands,2019,2,north and middle andaman district,2417
andaman-&-nicobar-islands,2019,2,south andaman district,18621
andaman-&-nicobar-islands,2019,2,nicobars district,693
andaman-&-nicobar-islands,2019,3,north and middle andaman district,2662
andaman-&-nicobar-islands,2019,3,south andaman district,20518
andaman-&-nicobar-islands,2019,3,nicobars district,751
andaman-&-nicobar-islands,2019,4,north and middle andaman district,2955
andaman-&-nicobar-islands,2019,4,south andaman district,22202
andaman-&-nicobar-islands,2019,4,nicobars district,803
andaman-&-nicobar-islands,2020,1,north and middle andaman district,3315
andaman-&-nicobar-islands,2020,1,south andaman district,24174
andaman-&-nicobar-islands,2020,1,nicobars district,879
andaman-&-nicobar-islands,2020,2,north and middle andaman district,4100
andaman-&-nicobar-islands,2020,2,south andaman district,27626
andaman-&-nicobar-islands,2020,2,nicobars district,984
andaman-&-nicobar-islands,2020,3,north and middle andaman district,5355
andaman-&-nicobar-islands,2020,3,south andaman district,34833
andaman-&-nicobar-islands,2020,3,nicobars district,1147
andaman-&-nicobar-islands,2020,4,north and middle andaman district,7076
andaman-&-nicobar-islands,2020,4,south andaman district,43908
andaman-&-nicobar-islands,2020,4,nicobars district,1412
andaman-&-nicobar-islands,2021,1,north and middle andaman district,7833
andaman-&-nicobar-islands,2021,1,south andaman district,48352
andaman-&-nicobar-islands,2021,1,nicobars district,1573
andaman-&-nicobar-islands,2021,2,north and middle andaman district,8493
andaman-&-nicobar-islands,2021,2,south andaman district,51903
andaman-&-nicobar-islands,2021,2,nicobars district,1699
